Largura:100  Altura:100 
Ofsset para os pixels: 138
Numero de compressao: 0
ponto final = 30140 
Pos: 464 ------- Red: 255, Green: 0, Blue: 0
Pos: 467 ------- Red: 255, Green: 0, Blue: 0
Pos: 470 ------- Red: 255, Green: 0, Blue: 0
Pos: 473 ------- Red: 255, Green: 0, Blue: 0
Pos: 476 ------- Red: 255, Green: 0, Blue: 0
Pos: 479 ------- Red: 255, Green: 0, Blue: 0
Pos: 482 ------- Red: 255, Green: 0, Blue: 0
Pos: 485 ------- Red: 255, Green: 0, Blue: 0
Pos: 488 ------- Red: 255, Green: 0, Blue: 0
Pos: 491 ------- Red: 255, Green: 0, Blue: 0
Pos: 494 ------- Red: 255, Green: 0, Blue: 0
Pos: 497 ------- Red: 255, Green: 0, Blue: 0
Pos: 500 ------- Red: 255, Green: 0, Blue: 0
Pos: 503 ------- Red: 255, Green: 0, Blue: 0
Pos: 506 ------- Red: 255, Green: 0, Blue: 0
Pos: 509 ------- Red: 255, Green: 0, Blue: 0
Pos: 512 ------- Red: 255, Green: 0, Blue: 0
Pos: 515 ------- Red: 255, Green: 0, Blue: 0
Pos: 518 ------- Red: 255, Green: 0, Blue: 0
Pos: 521 ------- Red: 255, Green: 0, Blue: 0
Pos: 524 ------- Red: 255, Green: 0, Blue: 0
Pos: 527 ------- Red: 255, Green: 0, Blue: 0
Pos: 530 ------- Red: 255, Green: 0, Blue: 0
Pos: 533 ------- Red: 255, Green: 0, Blue: 0
Pos: 536 ------- Red: 255, Green: 0, Blue: 0
Pos: 539 ------- Red: 255, Green: 0, Blue: 0
Pos: 542 ------- Red: 255, Green: 0, Blue: 0
Pos: 545 ------- Red: 255, Green: 0, Blue: 0
Pos: 548 ------- Red: 255, Green: 0, Blue: 0
Pos: 551 ------- Red: 255, Green: 0, Blue: 0
Pos: 554 ------- Red: 255, Green: 0, Blue: 0
Pos: 557 ------- Red: 255, Green: 0, Blue: 0
Pos: 560 ------- Red: 255, Green: 0, Blue: 0
Pos: 563 ------- Red: 255, Green: 0, Blue: 0
Pos: 566 ------- Red: 255, Green: 0, Blue: 0
Pos: 569 ------- Red: 255, Green: 0, Blue: 0
Pos: 572 ------- Red: 255, Green: 0, Blue: 0
Pos: 575 ------- Red: 255, Green: 0, Blue: 0
Pos: 578 ------- Red: 255, Green: 0, Blue: 0
Pos: 581 ------- Red: 255, Green: 0, Blue: 0
Pos: 584 ------- Red: 255, Green: 0, Blue: 0
Pos: 587 ------- Red: 255, Green: 0, Blue: 0
Pos: 590 ------- Red: 255, Green: 0, Blue: 0
Pos: 593 ------- Red: 255, Green: 0, Blue: 0
Pos: 596 ------- Red: 255, Green: 0, Blue: 0
Pos: 599 ------- Red: 255, Green: 0, Blue: 0
Pos: 602 ------- Red: 255, Green: 0, Blue: 0
Pos: 605 ------- Red: 255, Green: 0, Blue: 0
Pos: 608 ------- Red: 255, Green: 0, Blue: 0
Pos: 611 ------- Red: 255, Green: 0, Blue: 0
Pos: 614 ------- Red: 255, Green: 0, Blue: 0
Pos: 617 ------- Red: 255, Green: 0, Blue: 0
Pos: 620 ------- Red: 255, Green: 0, Blue: 0
Pos: 623 ------- Red: 255, Green: 0, Blue: 0
Pos: 626 ------- Red: 255, Green: 0, Blue: 0
Pos: 629 ------- Red: 255, Green: 0, Blue: 0
Pos: 632 ------- Red: 255, Green: 0, Blue: 0
Pos: 635 ------- Red: 255, Green: 0, Blue: 0
Pos: 638 ------- Red: 255, Green: 0, Blue: 0
Pos: 641 ------- Red: 255, Green: 0, Blue: 0
Pos: 644 ------- Red: 255, Green: 0, Blue: 0
Pos: 647 ------- Red: 255, Green: 0, Blue: 0
Pos: 650 ------- Red: 255, Green: 0, Blue: 0
Pos: 653 ------- Red: 255, Green: 0, Blue: 0
Pos: 656 ------- Red: 255, Green: 0, Blue: 0
Pos: 659 ------- Red: 255, Green: 0, Blue: 0
Pos: 662 ------- Red: 255, Green: 0, Blue: 0
Pos: 665 ------- Red: 255, Green: 0, Blue: 0
Pos: 668 ------- Red: 255, Green: 0, Blue: 0
Pos: 671 ------- Red: 255, Green: 0, Blue: 0
Pos: 674 ------- Red: 255, Green: 0, Blue: 0
Pos: 677 ------- Red: 255, Green: 0, Blue: 0
Pos: 680 ------- Red: 255, Green: 0, Blue: 0
Pos: 683 ------- Red: 255, Green: 0, Blue: 0
Pos: 686 ------- Red: 255, Green: 0, Blue: 0
Pos: 689 ------- Red: 255, Green: 0, Blue: 0
Pos: 692 ------- Red: 255, Green: 0, Blue: 0
Pos: 695 ------- Red: 255, Green: 0, Blue: 0
Pos: 698 ------- Red: 255, Green: 0, Blue: 0
Pos: 701 ------- Red: 255, Green: 0, Blue: 0
Pos: 704 ------- Red: 255, Green: 0, Blue: 0
Pos: 707 ------- Red: 255, Green: 0, Blue: 0
Pos: 710 ------- Red: 255, Green: 0, Blue: 0
Pos: 713 ------- Red: 255, Green: 0, Blue: 0
Pos: 716 ------- Red: 255, Green: 0, Blue: 0
Pos: 719 ------- Red: 255, Green: 0, Blue: 0
Pos: 722 ------- Red: 255, Green: 0, Blue: 0
Pos: 725 ------- Red: 255, Green: 0, Blue: 0
Pos: 728 ------- Red: 255, Green: 0, Blue: 0
Pos: 731 ------- Red: 255, Green: 0, Blue: 0
Pos: 734 ------- Red: 255, Green: 0, Blue: 0
Pos: 737 ------- Red: 255, Green: 0, Blue: 0
Pos: 740 ------- Red: 255, Green: 0, Blue: 0
Pos: 743 ------- Red: 255, Green: 0, Blue: 0
Pos: 746 ------- Red: 255, Green: 0, Blue: 0
Pos: 749 ------- Red: 255, Green: 0, Blue: 0
Pos: 752 ------- Red: 255, Green: 0, Blue: 0
Pos: 755 ------- Red: 255, Green: 0, Blue: 0
Pos: 758 ------- Red: 255, Green: 0, Blue: 0
Pos: 761 ------- Red: 255, Green: 0, Blue: 0
Pos: 764 ------- Red: 255, Green: 0, Blue: 0
Pos: 767 ------- Red: 255, Green: 0, Blue: 0
Pos: 770 ------- Red: 255, Green: 0, Blue: 0
Pos: 773 ------- Red: 255, Green: 0, Blue: 0
Pos: 776 ------- Red: 255, Green: 0, Blue: 0
Pos: 779 ------- Red: 255, Green: 0, Blue: 0
Pos: 782 ------- Red: 255, Green: 0, Blue: 0
Pos: 785 ------- Red: 255, Green: 0, Blue: 0
Pos: 788 ------- Red: 255, Green: 0, Blue: 0
Pos: 791 ------- Red: 255, Green: 0, Blue: 0
Pos: 794 ------- Red: 255, Green: 0, Blue: 0
Pos: 797 ------- Red: 255, Green: 0, Blue: 0
Pos: 800 ------- Red: 255, Green: 0, Blue: 0
Pos: 803 ------- Red: 255, Green: 0, Blue: 0
Pos: 806 ------- Red: 255, Green: 0, Blue: 0
Pos: 809 ------- Red: 255, Green: 0, Blue: 0
Pos: 812 ------- Red: 255, Green: 0, Blue: 0
Pos: 815 ------- Red: 255, Green: 0, Blue: 0
Pos: 818 ------- Red: 255, Green: 0, Blue: 0
Pos: 821 ------- Red: 255, Green: 0, Blue: 0
Pos: 824 ------- Red: 255, Green: 0, Blue: 0
Pos: 827 ------- Red: 255, Green: 0, Blue: 0
Pos: 830 ------- Red: 255, Green: 0, Blue: 0
Pos: 833 ------- Red: 255, Green: 0, Blue: 0
Pos: 836 ------- Red: 255, Green: 0, Blue: 0
Pos: 839 ------- Red: 255, Green: 0, Blue: 0
Pos: 842 ------- Red: 255, Green: 0, Blue: 0
Pos: 845 ------- Red: 255, Green: 0, Blue: 0
Pos: 848 ------- Red: 255, Green: 0, Blue: 0
Pos: 851 ------- Red: 255, Green: 0, Blue: 0
Pos: 854 ------- Red: 255, Green: 0, Blue: 0
Pos: 857 ------- Red: 255, Green: 0, Blue: 0
Pos: 860 ------- Red: 255, Green: 0, Blue: 0
Pos: 863 ------- Red: 255, Green: 0, Blue: 0
Pos: 866 ------- Red: 255, Green: 0, Blue: 0
Pos: 869 ------- Red: 255, Green: 0, Blue: 0
Pos: 872 ------- Red: 255, Green: 0, Blue: 0
Pos: 875 ------- Red: 255, Green: 0, Blue: 0
Pos: 878 ------- Red: 255, Green: 0, Blue: 0
Pos: 881 ------- Red: 255, Green: 0, Blue: 0
Pos: 884 ------- Red: 255, Green: 0, Blue: 0
Pos: 887 ------- Red: 255, Green: 0, Blue: 0
Pos: 890 ------- Red: 255, Green: 0, Blue: 0
Pos: 893 ------- Red: 255, Green: 0, Blue: 0
Pos: 896 ------- Red: 255, Green: 0, Blue: 0
Pos: 899 ------- Red: 255, Green: 0, Blue: 0
Pos: 902 ------- Red: 255, Green: 0, Blue: 0
Pos: 905 ------- Red: 255, Green: 0, Blue: 0
Pos: 908 ------- Red: 255, Green: 0, Blue: 0
Pos: 911 ------- Red: 255, Green: 0, Blue: 0
Pos: 914 ------- Red: 255, Green: 0, Blue: 0
Pos: 917 ------- Red: 255, Green: 0, Blue: 0
Pos: 920 ------- Red: 255, Green: 0, Blue: 0
Pos: 923 ------- Red: 255, Green: 0, Blue: 0
Pos: 926 ------- Red: 255, Green: 0, Blue: 0
Pos: 929 ------- Red: 255, Green: 0, Blue: 0
Pos: 932 ------- Red: 255, Green: 0, Blue: 0
Pos: 935 ------- Red: 255, Green: 0, Blue: 0
Pos: 938 ------- Red: 255, Green: 0, Blue: 0
Pos: 941 ------- Red: 255, Green: 0, Blue: 0
Pos: 944 ------- Red: 255, Green: 0, Blue: 0
Pos: 947 ------- Red: 255, Green: 0, Blue: 0
Pos: 950 ------- Red: 255, Green: 0, Blue: 0
Pos: 953 ------- Red: 255, Green: 0, Blue: 0
Pos: 956 ------- Red: 255, Green: 0, Blue: 0
Pos: 959 ------- Red: 255, Green: 0, Blue: 0
Pos: 962 ------- Red: 255, Green: 0, Blue: 0
Pos: 965 ------- Red: 255, Green: 0, Blue: 0
Pos: 968 ------- Red: 255, Green: 0, Blue: 0
Pos: 971 ------- Red: 255, Green: 0, Blue: 0
Pos: 974 ------- Red: 255, Green: 0, Blue: 0
Pos: 977 ------- Red: 255, Green: 0, Blue: 0
Pos: 980 ------- Red: 255, Green: 0, Blue: 0
Pos: 983 ------- Red: 255, Green: 0, Blue: 0
Pos: 986 ------- Red: 255, Green: 0, Blue: 0
Pos: 989 ------- Red: 255, Green: 0, Blue: 0
Pos: 992 ------- Red: 255, Green: 0, Blue: 0
Pos: 995 ------- Red: 255, Green: 0, Blue: 0
Pos: 998 ------- Red: 255, Green: 0, Blue: 0
Pos: 1001 ------- Red: 255, Green: 0, Blue: 0
Pos: 1004 ------- Red: 255, Green: 0, Blue: 0
Pos: 1007 ------- Red: 255, Green: 0, Blue: 0
Pos: 1010 ------- Red: 255, Green: 0, Blue: 0
Pos: 1013 ------- Red: 255, Green: 0, Blue: 0
Pos: 1016 ------- Red: 255, Green: 0, Blue: 0
Pos: 1019 ------- Red: 255, Green: 0, Blue: 0
Pos: 1022 ------- Red: 255, Green: 0, Blue: 0
Pos: 1025 ------- Red: 255, Green: 0, Blue: 0
Pos: 1028 ------- Red: 255, Green: 0, Blue: 0
Pos: 1031 ------- Red: 255, Green: 0, Blue: 0
Pos: 1034 ------- Red: 255, Green: 0, Blue: 0
Pos: 1037 ------- Red: 255, Green: 0, Blue: 0
Pos: 1040 ------- Red: 255, Green: 0, Blue: 0
Pos: 1043 ------- Red: 255, Green: 0, Blue: 0
Pos: 1046 ------- Red: 255, Green: 0, Blue: 0
Pos: 1049 ------- Red: 255, Green: 0, Blue: 0
Pos: 1052 ------- Red: 255, Green: 0, Blue: 0
Pos: 1055 ------- Red: 255, Green: 0, Blue: 0
Pos: 1058 ------- Red: 255, Green: 0, Blue: 0
Pos: 1061 ------- Red: 255, Green: 0, Blue: 0
Pos: 1064 ------- Red: 255, Green: 0, Blue: 0
Pos: 1067 ------- Red: 255, Green: 0, Blue: 0
Pos: 1070 ------- Red: 255, Green: 0, Blue: 0
Pos: 1073 ------- Red: 255, Green: 0, Blue: 0
Pos: 1076 ------- Red: 255, Green: 0, Blue: 0
Pos: 1079 ------- Red: 255, Green: 0, Blue: 0
Pos: 1082 ------- Red: 255, Green: 0, Blue: 0
Pos: 1085 ------- Red: 255, Green: 0, Blue: 0
Pos: 1088 ------- Red: 255, Green: 0, Blue: 0
Pos: 1091 ------- Red: 255, Green: 0, Blue: 0
Pos: 1094 ------- Red: 255, Green: 0, Blue: 0
Pos: 1097 ------- Red: 255, Green: 0, Blue: 0
Pos: 1100 ------- Red: 255, Green: 0, Blue: 0
Pos: 1103 ------- Red: 255, Green: 0, Blue: 0
Pos: 1106 ------- Red: 255, Green: 0, Blue: 0
Pos: 1109 ------- Red: 255, Green: 0, Blue: 0
Pos: 1112 ------- Red: 255, Green: 0, Blue: 0
Pos: 1115 ------- Red: 255, Green: 0, Blue: 0
Pos: 1118 ------- Red: 255, Green: 0, Blue: 0
Pos: 1121 ------- Red: 255, Green: 0, Blue: 0
Pos: 1124 ------- Red: 255, Green: 0, Blue: 0
Pos: 1127 ------- Red: 255, Green: 0, Blue: 0
Pos: 1130 ------- Red: 255, Green: 0, Blue: 0
Pos: 1133 ------- Red: 255, Green: 0, Blue: 0
Pos: 1136 ------- Red: 255, Green: 0, Blue: 0
Pos: 1139 ------- Red: 255, Green: 0, Blue: 0
Pos: 1142 ------- Red: 255, Green: 0, Blue: 0
Pos: 1145 ------- Red: 255, Green: 0, Blue: 0
Pos: 1148 ------- Red: 255, Green: 0, Blue: 0
Pos: 1151 ------- Red: 255, Green: 0, Blue: 0
Pos: 1154 ------- Red: 255, Green: 0, Blue: 0
Pos: 1157 ------- Red: 255, Green: 0, Blue: 0
Pos: 1160 ------- Red: 255, Green: 0, Blue: 0
Pos: 1163 ------- Red: 255, Green: 0, Blue: 0
Pos: 1166 ------- Red: 255, Green: 0, Blue: 0
Pos: 1169 ------- Red: 255, Green: 0, Blue: 0
